Rank,Title,Ticker,Industry,Sector,HQ Location,Years on list,CEO,EPS,Employees,Revenues,Profits,Image URL,Website,geoCode
1,Walmart,WMT,General Merchandisers,Retailing,"Bentonville, AR",21,C. Douglas McMillon,5.05,2200000,485651,16363,https://fortunedotcom.files.wordpress.com/2015/06/wal06-15_g.jpg?quality=80&w=840&h=485&crop=1,http://www.walmart.com,AR
2,Exxon Mobil,XOM,Petroleum Refining,Energy,"Irving, TX",21,Rex W. Tillerson,7.6,83700,382597,32520,https://fortunedotcom.files.wordpress.com/2015/05/exxon.jpg?quality=80&w=462&h=263&crop=1,http://www.exxonmobil.com,TX
3,Chevron,CVX,Petroleum Refining,Energy,"San Ramon, CA",21,John S. Watson,10.14,64700,203784,19241,https://fortunedotcom.files.wordpress.com/2015/05/chevron.jpg?quality=80&w=840&h=485&crop=1,http://www.chevron.com,CA
4,Berkshire Hathaway,BRK.A,Insurance: Property and Casualty (Stock),Financials,"Omaha, NE",21,Warren E. Buffett,12092,316000,194673,19872,https://fortunedotcom.files.wordpress.com/2015/05/487981369.jpg?quality=80&w=840&h=485&crop=1,http://www.berkshirehathaway.com,NE
5,Apple,AAPL,"Computers, Office Equipment",Technology,"Cupertino, CA",21,Timothy D. Cook,6.45,97200,182795,39510,https://fortunedotcom.files.wordpress.com/2015/05/apple.jpg?quality=80&w=840&h=485&crop=1,http://www.apple.com,CA
6,General Motors,GM,Motor Vehicles and Parts,Motor Vehicles & Parts,"Detroit, MI",21,Mary T. Barra,1.65,216000,155929,3949,https://fortunedotcom.files.wordpress.com/2015/05/general-motors.jpg?quality=80&w=462&h=263&crop=1,http://www.gm.com,MI
7,Phillips 66,PSX,Petroleum Refining,Energy,"Houston, TX",3,Greg C. Garland,8.33,14000,149434,4762,https://fortunedotcom.files.wordpress.com/2015/05/phillips-661.jpg?quality=80&w=462&h=263&crop=1,http://www.phillips66.com,TX
8,General Electric,GE,Diversified Financials,Financials,"Fairfield, CT",21,Jeffrey R. Immelt,1.5,305000,148321,15233,https://fortunedotcom.files.wordpress.com/2015/05/general-electric.jpg?quality=80&w=462&h=263&crop=1,http://www.ge.com,CT
9,Ford Motor,F,Motor Vehicles and Parts,Motor Vehicles & Parts,"Dearborn, MI",21,Mark Fields,0.8,187000,144077,3187,https://fortunedotcom.files.wordpress.com/2015/05/ford.jpg?quality=80&w=840&h=485&crop=1,http://www.ford.com,MI
10,CVS Health,CVS,Food and Drug Stores,Food & Drug Stores,"Woonsocket, RI",21,Larry J. Merlo,3.96,177800,139367,4644,https://fortunedotcom.files.wordpress.com/2015/05/cvs1.jpg?quality=80&w=462&h=263&crop=1,http://www.cvshealth.com,RI
