seed,domain,status,datetime
phillips66.com,phiillps66.com,failed,2016-11-26 19:03:09
phillips66.com,philolips66.com,resolved,2016-11-26 19:03:09
phillips66.com,hiillips66.com,failed,2016-11-26 19:03:09
phillips66.com,pphillips666.com,failed,2016-11-26 19:03:09
phillips66.com,phiillips666.com,failed,2016-11-26 19:03:09
phillips66.com,pyhillips66.com,resolved,2016-11-26 19:03:10
phillips66.com,philips6.com,failed,2016-11-26 19:03:10
phillips66.com,phhilips66.com,failed,2016-11-26 19:03:10
phillips66.com,phkllips66.com,resolved,2016-11-26 19:03:10
phillips66.com,philips666.com,failed,2016-11-26 19:02:49
phillips66.com,philliss66.com,failed,2016-11-26 19:02:50
phillips66.com,pphilips66.com,failed,2016-11-26 19:02:50
phillips66.com,pphillps66.com,failed,2016-11-26 19:02:50
phillips66.com,phllip66.com,failed,2016-11-26 19:02:50
phillips66.com,phillips65.com,failed,2016-11-26 19:02:50
phillips66.com,phillips666.com,resolved,2016-11-26 19:02:50
phillips66.com,phillps66.com,resolved,2016-11-26 19:02:51
phillips66.com,phhillips666.com,failed,2016-11-26 19:02:51
phillips66.com,phillippss66.com,failed,2016-11-26 19:02:51
phillips66.com,phillipsy66.com,failed,2016-11-26 19:02:51
phillips66.com,phhillip66.com,failed,2016-11-26 19:02:51
phillips66.com,philliops66.com,resolved,2016-11-26 19:02:52
phillips66.com,phillkps66.com,resolved,2016-11-26 19:02:52
phillips66.com,phillis6.com,failed,2016-11-26 19:02:52
phillips66.com,phillips6y6.com,failed,2016-11-26 19:02:52
phillips66.com,philliips66.com,resolved,2016-11-26 19:02:52
phillips66.com,hillipss66.com,failed,2016-11-26 19:02:52
phillips66.com,pjhillips66.com,resolved,2016-11-26 19:02:52
phillips66.com,phllipss66.com,failed,2016-11-26 19:02:53
phillips66.com,pphillip66.com,failed,2016-11-26 19:02:53
phillips66.com,philllipss66.com,failed,2016-11-26 19:02:53
phillips66.com,phllips666.com,failed,2016-11-26 19:02:53
phillips66.com,pillis66.com,failed,2016-11-26 19:02:53
phillips66.com,philps66.com,failed,2016-11-26 19:02:53
phillips66.com,phiilllips66.com,failed,2016-11-26 19:02:54
phillips66.com,phhilliips66.com,failed,2016-11-26 19:02:54
phillips66.com,phillpps66.com,failed,2016-11-26 19:02:54
phillips66.com,phikllips66.com,resolved,2016-11-26 19:02:54
phillips66.com,phillp66.com,failed,2016-11-26 19:02:54
phillips66.com,phhllips66.com,failed,2016-11-26 19:02:55
phillips66.com,phillips.com,resolved,2016-11-26 19:02:55
phillips66.com,phillis666.com,failed,2016-11-26 19:02:55
phillips66.com,philllips66.com,resolved,2016-11-26 19:02:55
phillips66.com,phuillips66.com,resolved,2016-11-26 19:02:55
phillips66.com,phiillips66.com,resolved,2016-11-26 19:02:55
phillips66.com,phill8ps66.com,resolved,2016-11-26 19:02:55
phillips66.com,phillips76.com,resolved,2016-11-26 19:02:55
phillips66.com,philllipps66.com,failed,2016-11-26 19:02:56
phillips66.com,phiillipps66.com,failed,2016-11-26 19:02:56
phillips66.com,hillips6.com,failed,2016-11-26 19:02:56
phillips66.com,phillips656.com,failed,2016-11-26 19:02:56
phillips66.com,phhillips66.com,resolved,2016-11-26 19:02:56
phillips66.com,phillllips66.com,failed,2016-11-26 19:02:56
phillips66.com,philllis66.com,failed,2016-11-26 19:02:56
phillips66.com,illips66.com,failed,2016-11-26 19:02:57
phillips66.com,phlllips66.com,resolved,2016-11-26 19:02:57
phillips66.com,pillips666.com,failed,2016-11-26 19:02:57
phillips66.com,philli66.com,failed,2016-11-26 19:02:57
phillips66.com,phiollips66.com,resolved,2016-11-26 19:02:57
phillips66.com,phiillipss66.com,failed,2016-11-26 19:02:57
phillips66.com,phkillips66.com,resolved,2016-11-26 19:02:57
phillips66.com,philliipss66.com,failed,2016-11-26 19:02:58
phillips66.com,pphillips66.com,resolved,2016-11-26 19:02:58
phillips66.com,pillps66.com,failed,2016-11-26 19:02:58
phillips66.com,pillips66.com,resolved,2016-11-26 19:02:58
phillips66.com,phiips66.com,failed,2016-11-26 19:02:58
phillips66.com,pgillips66.com,resolved,2016-11-26 19:02:58
phillips66.com,philip66.com,resolved,2016-11-26 19:02:58
phillips66.com,phllips66.com,resolved,2016-11-26 19:02:58
phillips66.com,hilllips66.com,failed,2016-11-26 19:02:59
phillips66.com,ohillips66.com,resolved,2016-11-26 19:02:59
phillips66.com,phillipp66.com,failed,2016-11-26 19:02:59
phillips66.com,pilliips66.com,failed,2016-11-26 19:02:59
phillips66.com,pilllips66.com,failed,2016-11-26 19:02:59
phillips66.com,phillps666.com,failed,2016-11-26 19:02:59
phillips66.com,phillipps66.com,resolved,2016-11-26 19:03:00
phillips66.com,phillipds66.com,resolved,2016-11-26 19:03:00
phillips66.com,phiilliips66.com,failed,2016-11-26 19:03:00
phillips66.com,phillipps6.com,failed,2016-11-26 19:03:00
phillips66.com,philllip66.com,failed,2016-11-26 19:03:00
phillips66.com,ophillips66.com,resolved,2016-11-26 19:03:00
phillips66.com,phlliips66.com,failed,2016-11-26 19:03:01
